Schema,Table,Type,Column,DataType,Length,Nullable
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_AccountStatus__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_AccountSubType__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Division__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_DOZISF__ZoomInfo_Id__c,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_EmailDomain__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQCity__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQCountry__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQCountryISO__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQCountryRegion__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQPostalRequired__c,BOOLEAN,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_HQStateProvince__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQStreet__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_HQZipPostalCode__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_Id,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_Name,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_RecordTypeName__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Account_Status__c,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,Account_Website,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_WEBSITE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_COMPANY_PHONE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_BUILDING_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_BUILDING_NUMBER,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_ROAD_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_ROAD_TYPE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_DIRECTIONAL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_UNIT,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_CITY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_STATE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_ZIP,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_MATCH_REASON_COUNTRY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LOCATION_ID,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_ID,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_HQ,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_ECID,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_LOCATION_ID,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TIER_GRADE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAME_DISPLAY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LEGAL_ENTITY_TYPE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_STREET,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_STREET_2,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_CITY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_STATE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_ZIP,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COUNTRY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_CBSA_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COUNTY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LATITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LONGITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_VERIFIED_ADDRESS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EMPLOYEE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EMPLOYEES,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_REVENUE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_REVENUE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_PHONE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_FAX,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_INDUSTRY_PRIMARY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SUB_INDUSTRY_PRIMARY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_INDUSTRIES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SUB_INDUSTRIES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_INDUSTRY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_INDUSTRIES_TOP3,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS2,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS4,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS6,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS_TOP3,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC2,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC3,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC4,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC_TOP3,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_ESTIMATED_AGE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_YEAR_FOUNDED,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_B2B,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_B2C,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_HQ_ECID,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_HQ_LOCATION_ID,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_STREET,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_STREET_2,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_CITY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_STATE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_ZIP,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_COUNTRY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_CBSA_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_COUNTY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_LATITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_LONGITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_VERIFIED_ADDRESS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_EMPLOYEE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_EMPLOYEES,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_REVENUE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_REVENUE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_PHONE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_FAX,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LINKEDIN_URL,STRING,0,YES
