Schema,Table,Type,Column,DataType,Length,Nullable
powerbi,dbo_vf_calendar,VIEW,Date,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Date Serial,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Year,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Half,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Quarter,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Month,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Year-Half,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Year-Quarter,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Year-Month,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Year-Week,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Year-Week Number,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Month Number,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Month Start,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Month End,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter Start,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter End,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter Month,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter Week,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter Day,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Week Friday,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Current Quarter,BOOLEAN,-,YES
powerbi,dbo_vf_calendar,VIEW,Relative Year,INT,-,YES
powerbi,dbo_vf_calendar,VIEW,Relative Quarter,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Relative Month,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Current Month,BOOLEAN,-,YES
powerbi,dbo_vf_calendar,VIEW,Working Day,BOOLEAN,-,YES
powerbi,dbo_vf_calendar,VIEW,US Holiday,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Week Thursday,DATE,-,YES
powerbi,dbo_vf_calendar,VIEW,Is Filter,LONG,-,YES
powerbi,dbo_vf_calendar,VIEW,Current Year,BOOLEAN,-,YES
powerbi,dbo_vf_calendar,VIEW,Quarter-Quarter Week,STRING,0,YES
powerbi,dbo_vf_calendar,VIEW,Quarter-Quarter Week Sort,LONG,-,YES
powerbi,gainsight_vf_admin_click,VIEW,Instance ID,STRING,0,YES
powerbi,gainsight_vf_admin_click,VIEW,Date,DATE,-,YES
powerbi,gainsight_vf_admin_click,VIEW,Feature Name,STRING,0,YES
powerbi,gainsight_vf_admin_click,VIEW,Features,LONG,-,YES
powerbi,gainsight_vf_button_click,VIEW,Instance ID,STRING,0,YES
powerbi,gainsight_vf_button_click,VIEW,Date,DATE,-,YES
powerbi,gainsight_vf_button_click,VIEW,Feature Name,STRING,0,YES
powerbi,gainsight_vf_button_click,VIEW,Features,LONG,-,YES
powerbi,gainsight_vf_button_click,VIEW,EntitleCompanyID,STRING,0,YES
powerbi,gainsight_vf_child_category,VIEW,Category ID,LONG,-,YES
powerbi,gainsight_vf_child_category,VIEW,Category Name,STRING,0,YES
powerbi,gainsight_vf_child_category,VIEW,Parent Category ID,LONG,-,YES
powerbi,gainsight_vf_cloud_event_data,VIEW,Instance ID,STRING,0,YES
powerbi,gainsight_vf_cloud_event_data,VIEW,Event ID,LONG,-,YES
powerbi,gainsight_vf_cloud_event_data,VIEW,Events,LONG,-,YES
